Category,Firm,Target Role/Team,Source/ATS,Fit Tier,Status,Contact,Applied Date,Notes
Consulting AI,Capco,Finance consulting AI,Custom,B,Not started,,,
Consulting AI,Thoughtworks,AI eng,Custom,B,Not started,,,
Consulting AI,Cognizant / Infosys,AI eng (Topaz),Custom,B,Not started,,,
Consulting AI,EPAM,AI eng,Custom,B,Not started,,,
Consulting AI,Boutique gov-data shops (NJ/DC),Eng,Network,B,Not started,,,
Enterprise AI Automation,New York Life,Full-time / extend TDAV,Internal,A,Not started,,,Return offer + named reference
Enterprise AI Automation,Harvey,Legal AI eng,Ashby,B,Not started,,,
Enterprise AI Automation,EvenUp,Legal AI,Ashby,B,Not started,,,
Enterprise AI Automation,Thomson Reuters CoCounsel,Legal AI,Custom,B,Not started,,,
Enterprise AI Automation,Abridge,Clinical doc AI,Ashby,B,Not started,,,
Enterprise AI Automation,Nuance / Microsoft,Healthcare AI (DAX),Custom,B,Not started,,,
Enterprise AI Automation,OpenEvidence,Medical AI,Custom,B,Not started,,,
Enterprise AI Automation,Cohere Health / Anterior,Insurance-claims AI,Various,B,Not started,,,
Enterprise AI Automation,Sixfold,Insurance underwriting AI,Ashby,B,Not started,,,
Enterprise AI Automation,Tractable,Claims AI,Custom,B,Not started,,,
Enterprise AI Automation,UnitedHealth / Optum,AI eng,Custom,B,Not started,,,
Enterprise AI Automation,CVS / Aetna,AI eng,Custom,B,Not started,,,
Enterprise AI Automation,Epic / Oracle Health,Health-IT AI,Custom,B,Not started,,,
Enterprise AI Automation,Guidewire,Insurance-platform AI,Greenhouse,B,Not started,,,
Enterprise AI Automation,Progressive / Liberty Mutual,AI / automation,Custom,B,Not started,,,
Enterprise AI Automation,MetLife / Prudential / Chubb,AI eng,Custom,B,Not started,,,NYL peers
Enterprise AI Automation,Hippocratic AI,Healthcare agents,Ashby,B,Not started,,,
Enterprise AI Automation,DocuSign / Ironclad,Contract AI,Custom,B,Not started,,,
Enterprise AI Automation,Verisk,Insurance-data AI,Custom,B,Not started,,,
Enterprise AI Automation,UiPath / Automation Anywhere,Agentic automation,Custom,B,Not started,,,
